"id","entidad_id","honorario_producto_id","honorario_id","producto_id","importe","created_at","updated_at"
"26","1023","16","4","3","140","2026-6-25 14:04:04","2026-6-25 14:04:04"
"27","1035","16","4","3","140","2026-6-25 14:04:04","2026-6-25 14:04:04"
"28","960","16","4","3","140","2026-6-25 14:04:04","2026-6-25 14:04:04"
"29","976","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"30","932","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"31","948","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"32","228","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"33","970","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"34","902","16","4","3","140","2026-6-25 14:04:04","2026-6-25 14:04:04"
"35","944","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"36","946","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"37","1030","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"38","1004","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"39","1016","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"40","994","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"41","843","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"42","892","16","4","3","140","2026-6-25 14:04:04","2026-6-25 14:04:04"
"43","904","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"44","979","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"45","721","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"46","1065","44","4","9","2350","2026-6-25 14:04:04","2026-6-25 14:04:04"
"47","1062","45","5","9","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"48","1003","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"49","797","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"50","1025","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"51","931","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"52","903","8","2","9","2450","2026-6-25 14:04:04","2026-6-25 14:04:04"
"53","1022","2","2","3","150","2026-6-25 14:04:04","2026-6-25 14:04:04"
"54","1050","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"55","1015","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"56","890","1","1","3","125","2026-6-25 14:04:04","2026-6-25 14:04:04"
"57","991","5","2","6","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"58","853","5","2","6","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"59","347","29","10","6","1000","2026-6-25 14:04:04","2026-6-25 14:04:04"
"60","376","29","10","6","1000","2026-6-25 14:04:04","2026-6-25 14:04:04"
"61","889","5","2","6","0","2026-6-25 14:04:04","2026-6-25 14:04:04"
"62","862","29","10","6","1000","2026-6-25 14:04:04","2026-6-25 14:04:04"
